College, Branch, Branch Code
Indian Institute of Technology Bhubaneswar, Civil Engineering, A4109
Indian Institute of Technology Bhubaneswar, Electrical Engineering, A4111 
Indian Institute of Technology Bhubaneswar, Mechanical Engineering, A4125
Indian Institute of Technology Guwahati, Biotechnology, W4104
Indian Institute of Technology Guwahati, Chemical Engineering, W4107
Indian Institute of Technology Guwahati, Chemical Science and Technology, W4108
Indian Institute of Technology Guwahati, Civil Engineering, W4109
Indian Institute of Technology Guwahati, Computer Science and Engineering, W4110
Indian Institute of Technology Guwahati, Electronics and Communication Engineering, W4114
Indian Institute of Technology Guwahati, Electronics and Electrical Engineering, W4116
Indian Institute of Technology Guwahati, Engineering Physics, W4117
Indian Institute of Technology Guwahati, Mathematics and Computing, W4124
Indian Institute of Technology Guwahati, Mechanical Engineering, W4125
Indian Institute of Technology Guwahati, Design, W4401
Indian Institute of Technology Bombay, Aerospace Engineering, B4101
Indian Institute of Technology Bombay, Chemical Engineering, B4107
Indian Institute of Technology Bombay, Civil Engineering, B4109
Indian Institute of Technology Bombay, Computer Science and Engineering, B4110
Indian Institute of Technology Bombay, Electrical Engineering, B4111
Indian Institute of Technology Bombay, Engineering Physics, B4117
Indian Institute of Technology Bombay, Mechanical Engineering, B4125
Indian Institute of Technology Bombay, Metallurgical Engineering and Materials Science, B4128
Indian Institute of Technology Bombay, Chemical Engineering, B5210
Indian Institute of Technology Bombay, Electrical Engineering with M.Tech. in Communications and Signal Processing, B5219
Indian Institute of Technology Bombay, Electrical Engineering with M.Tech. in Microelectronics, B5221
Indian Institute of Technology Bombay, Energy Engineering with M.Tech. in Energy Systems Engineering, B5226
Indian Institute of Technology Bombay, Engineering Physics with M.Tech. in Engineering Physics with specialization in Nano Science, B5229
Indian Institute of Technology Bombay, Mechanical Engineering with M.Tech. in Computer Aided Design and Automation, B5234
Indian Institute of Technology Bombay, Mechanical Engineering with M.Tech. in Computer Integrated Manufacturing, B5235
Indian Institute of Technology Bombay, Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites, B5244
Indian Institute of Technology Bombay, Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering, B5245
Indian Institute of Technology Bombay, Chemistry, B5503
Indian Institute of Technology Hyderabad, Chemical Engineering, H4107
Indian Institute of Technology Hyderabad, Civil Engineering, H4109
Indian Institute of Technology Hyderabad, Computer Science and Engineering, H4110
Indian Institute of Technology Hyderabad, Electrical Engineering, H4111
Indian Institute of Technology Hyderabad, Engineering Science, H4118
Indian Institute of Technology Hyderabad, Mechanical Engineering, H4125
Indian Institute of Technology Indore, Computer Science and Engineering, E4110
Indian Institute of Technology Indore, Electrical Engineering, E4111
Indian Institute of Technology Indore, Mechanical Engineering, E4125
Indian Institute of Technology Kanpur, Aerospace Engineering, K4101
Indian Institute of Technology Kanpur, Biological Sciences and Bioengineering, K4103
Indian Institute of Technology Kanpur, Chemical Engineering, K4107
Indian Institute of Technology Kanpur, Civil Engineering, K4109
Indian Institute of Technology Kanpur, Computer Science and Engineering, K4110
Indian Institute of Technology Kanpur, Electrical Engineering, K4111
Indian Institute of Technology Kanpur, Materials Science and Engineering, K4123
Indian Institute of Technology Kanpur, Mechanical Engineering, K4125
Indian Institute of Technology Kanpur, Chemistry, K4201
Indian Institute of Technology Kanpur, Economics  K4202
Indian Institute of Technology Kanpur, Mathematics and Scientific Computing, K4203
Indian Institute of Technology Kanpur, Physics, K4204
Indian Institute of Technology Delhi, Chemical Engineering, D4107
Indian Institute of Technology Delhi, Civil Engineering, D4109
Indian Institute of Technology Delhi, Computer Science and Engineering, D4110
Indian Institute of Technology Delhi, Electrical Engineering, D4111
Indian Institute of Technology Delhi, Electrical Engineering (Power), D4112
Indian Institute of Technology Delhi, Engineering Physics, D4117
